ID_Manufacturer;Numer katalogowy;Skrócony numer katalogowy;Kategoria produktu;ID_kategorii;Model;Nazwa;Opis;Zdjęcie głowne;Zdjęcie dodatkowe;Meta opis;Meta słowa kluczowe;cena;Price flag;Hydrokolor;Kolor;Dodatkowe kolory;Waga;Rozmiar (szerokość x wysokość x głębokość);Pojemność;Material;Dodatkowy materiał wykonania;Rozmiar opakowania;Multipack;Rozmiar opakowania zbiorczego;Minimalne zamówienie;Coloration;Znakowanie;Kraj produkcji;Maksymalny rozmiar nadruku
12;R08280.06;R08280.06;Akcesoria;27;R08280.06;Wyciskarka do cystrusów Squeezi, biały ;Pojemnik z wyciskarką do pomarańczy oraz wyciskarką do cytryn o całkowitej pojemności 600 ml.;Wyciskarka-do-cystrusow-Squeezi-bialy.jpg;Wyciskarka-do-cystrusow-Squeezi-bialy-a.jpg, Wyciskarka-do-cystrusow-Squeezi-bialy-b.jpg, Wyciskarka-do-cystrusow-Squeezi-bialy-c.jpg, Wyciskarka-do-cystrusow-Squeezi-bialy-d.jpg;Wyciskarka do cytrusów Squeezi, biały idealny gadżet dla miłośników świeżych soków z cytrusów. Praktyczny pojemnik dołączony do wyciskarki pomieści aż 600 ml soku, czyli ponad dwie, standardowe szklanki.;wyciskarka do owocow z nadrukiem reklamowa z logo dla firm;17,9;1;;biały;;;118 x 143 x 155;600 ml;polipropylen;polistyren;;;;;;tampodruk A3, rozmiar obszaru zdobienia: 20x60, maksymalny rozmiar logo: 20x60, ilość kolorów: 1;;20x60
12;R08420.02;R08420.02;Akcesoria;27;;Pojemnik próżniowy Termo, czarny ;Pojemnik próżniowy o pojemności 800 ml. Doskonale sprawdzi się jako termos utrzymujący Twój lunch w ciepłej temperaturze. Dwie ścianki ze stali nierdzewnej, wewnątrz stal 18/8 o podwyższonej jakości.;Pojemnik-prozniowy-Termo-czarny.jpg;Pojemnik-prozniowy-Termo-czarny-a.jpg, Pojemnik-prozniowy-Termo-czarny-b.jpg;Pojemnik próżniowy Termo, czarny to pięknie prezentujący się produkt idealny dla tych, którzy chcą własnoręcznie przygotowany ciepły posiłek zabrać ze sobą do pracy.;pojemnik próżniowy termo reklamowy z nadrukiem z logo dla firm na obiad podróżny termos ;59,9;1;;czarny;;;105 x 190 x 105;800 ml;stal nierdzewna 18/8;;;;;;;"grawer L3, rozmiar obszaru zdobienia: 60x96, maksymalny rozmiar logo: 50x30, ilość kolorów: 1
grawer L3, rozmiar obszaru zdobienia: 60x96, maksymalny rozmiar logo: 50x30, ilość kolorów: 1
UV U3, rozmiar obszaru zdobienia: 60x96, maksymalny rozmiar logo: 25x90, ilość kolorów: 1";;60x96
12;R08250.02;R08250.02;Bidony, termosy, butelki;24;R08420.02;Bidon Apt 750 ml, czarny ;Szczelny bidon z tritanu o pojemności 750 ml, z uchwytem. Wyposażony w funkcję hook&press - podwójnego zabezpieczenia przed rozlaniem płynu. Wolny od BPA.;Bidon-Apt-750-ml-czarny.jpg;Bidon-Apt-750-ml-czarny-a.jpg, Bidon-Apt-750-ml-czarny-b.jpg, Bidon-Apt-750-ml-czarny-c.jpg, Bidon-Apt-750-ml-czarny-d.jpg, Bidon-Apt-750-ml-czarny-e.jpg, Bidon-Apt-750-ml-czarny-f.jpg, Bidon-Apt-750-ml-czarny-g.jpg;Bidon Apt 750 ml, czarny praktyczny gadżet reklamowy, który przyda się w podróży. Pojemny - 750 ml i wytrzymały — wykonany z tritanu.;bidon butelka termos reklamowy z nadrukiem logo dla firm plastikowa plastikowy metalowy matalowa szklana szklany ;29,9;1;;czarny;;;27 x 255 x 72;750 ml;tritan;PP;;;;;;"grawer L3, rozmiar obszaru zdobienia: 33x145, maksymalny rozmiar logo: 30x50, ilość kolorów: 1
grawer L3, rozmiar obszaru zdobienia: 33x145, maksymalny rozmiar logo: 30x50, ilość kolorów: 1
grawer L3, rozmiar obszaru zdobienia: 33x145, maksymalny rozmiar logo: 30x50, ilość kolorów: 1
grawer L3, rozmiar obszaru zdobienia: 33x145, maksymalny rozmiar logo: 30x50, ilość kolorów: 1
UV U3, rozmiar obszaru zdobienia: 33x145, maksymalny rozmiar logo: 25x120, ilość kolorów: 1
UV U3, rozmiar obszaru zdobienia: 33x145, maksymalny rozmiar logo: 25x120, ilość kolorów: 1";;33x145
12;R08251.04;R08251.04;Bidony, termosy, butelki;24;R08250.02;Bidon Facile 900 ml, niebieski/czarny ;Lekki, szczelny bidon z tritanu, o pojemności 900 ml. Wyposażony w wygodny składany uchwyt i zakręcaną nakrętkę. Wolny od BPA.;Bidon-Facile-900-ml-niebieski-czarny-g.jpg;Bidon-Facile-900-ml-niebieski-czarny-a.jpg, Bidon-Facile-900-ml-niebieski-czarny-b.jpg, Bidon-Facile-900-ml-niebieski-czarny-c.jpg, Bidon-Facile-900-ml-niebieski-czarny-d.jpg, Bidon-Facile-900-ml-niebieski-czarny-e.jpg, Bidon-Facile-900-ml-niebieski-czarny.jpg, Bidon-Facile-900-ml-niebieski-czarny-h.jpg, Bidon-Facile-900-ml-niebieski-czarny-i.jpg;Bidon Facile 900 ml, niebieski/czarny to produkt o bardzo dużej pojemność - 90 ml. Wykonany z tritanu. Czarny z kolorowymi wstawkami. Wyposażony w wygodny składany uchwyt i zakręcaną nakrętkę. Wolny od BPA.;bidon butelka termos reklamowy z nadrukiem logo dla firm plastikowa plastikowy metalowy matalowa szklana szklany ;32,9;1;;niebieski;czarny;;75 x 270 75;900 ml;tritan;PP, silikon;;;;;;"grawer L3, rozmiar obszaru zdobienia: 34x124, maksymalny rozmiar logo: 30x50, ilość kolorów: 1
grawer L3, rozmiar obszaru zdobienia: 34x124, maksymalny rozmiar logo: 30x50, ilość kolorów: 1
grawer L3, rozmiar obszaru zdobienia: 34x124, maksymalny rozmiar logo: 30x50, ilość kolorów: 1
grawer L3, rozmiar obszaru zdobienia: 34x124, maksymalny rozmiar logo: 30x50, ilość kolorów: 1
UV U3, rozmiar obszaru zdobienia: 34x124, maksymalny rozmiar logo: 25x120, ilość kolorów: 1
UV U3, rozmiar obszaru zdobienia: 34x124, maksymalny rozmiar logo: 25x120, ilość kolorów: 1";;34x124
12;R08251.08;R08251.08;Bidony, termosy, butelki;24;R08251.04;Bidon Facile 900 ml, czerwony/czarny ;Lekki, szczelny bidon z tritanu, o pojemności 900 ml. Wyposażony w wygodny składany uchwyt i zakręcaną nakrętkę. Wolny od BPA.;Bidon-Facile-900-ml-czerwony-czarny.jpg;Bidon-Facile-900-ml-czerwony-czarny-a.jpg, Bidon-Facile-900-ml-czerwony-czarny-b.jpg, Bidon-Facile-900-ml-czerwony-czarny-c.jpg, Bidon-Facile-900-ml-czerwony-czarny-d.jpg, Bidon-Facile-900-ml-czerwony-czarny-e.jpg, Bidon-Facile-900-ml-czerwony-czarny-g.jpg;Bidon Facile 900 ml, czerwony/czarny to produkt o bardzo dużej pojemność - 90 ml. Wykonany z tritanu. Czarny z kolorowymi wstawkami. Wyposażony w wygodny składany uchwyt i zakręcaną nakrętkę. Wolny od BPA.;bidon butelka termos reklamowy z nadrukiem logo dla firm plastikowa plastikowy metalowy matalowa szklana szklany ;32,9;1;;czerwony;czarny;;75 x 270 x 75;900 ml;tritan;PP, silikon;;;;;;"grawer L3, rozmiar obszaru zdobienia: 34x124, maksymalny rozmiar logo: 30x50, ilość kolorów: 1
grawer L3, rozmiar obszaru zdobienia: 34x124, maksymalny rozmiar logo: 30x50, ilość kolorów: 1
grawer L3, rozmiar obszaru zdobienia: 34x124, maksymalny rozmiar logo: 30x50, ilość kolorów: 1
grawer L3, rozmiar obszaru zdobienia: 34x124, maksymalny rozmiar logo: 30x50, ilość kolorów: 1
UV U3, rozmiar obszaru zdobienia: 34x124, maksymalny rozmiar logo: 25x120, ilość kolorów: 1
UV U3, rozmiar obszaru zdobienia: 34x124, maksymalny rozmiar logo: 25x120, ilość kolorów: 1";;34x124
12;R08251.21;R08251.21;Bidony, termosy, butelki;24;R08251.08;Bidon Facile 900 ml, szary/czarny ;Lekki, szczelny bidon z tritanu, o pojemności 900 ml. Wyposażony w wygodny składany uchwyt i zakręcaną nakrętkę. Wolny od BPA.;Bidon-Facile-900-ml-szary-czarny.jpg;Bidon-Facile-900-ml-szary-czarny-a.jpg, Bidon-Facile-900-ml-szary-czarny-b.jpg, Bidon-Facile-900-ml-szary-czarny-c.jpg, Bidon-Facile-900-ml-szary-czarny-d.jpg, Bidon-Facile-900-ml-szary-czarny-e.jpg, Bidon-Facile-900-ml-szary-czarny-f.jpg;Bidon Facile 900 ml, szary/czarny  to produkt o bardzo dużej pojemność - 90 ml. Wykonany z tritanu. Czarny z kolorowymi wstawkami. Wyposażony w wygodny składany uchwyt i zakręcaną nakrętkę. Wolny od BPA.;bidon butelka termos reklamowy z nadrukiem logo dla firm plastikowa plastikowy metalowy matalowa szklana szklany ;32,9;1;;szary;czarny;;75 x 270 x 75 ;900 ml;tritan;PP, silikon;;;;;;"grawer L3, rozmiar obszaru zdobienia: 34x124, maksymalny rozmiar logo: 30x50, ilość kolorów: 1
grawer L3, rozmiar obszaru zdobienia: 34x124, maksymalny rozmiar logo: 30x50, ilość kolorów: 1
grawer L3, rozmiar obszaru zdobienia: 34x124, maksymalny rozmiar logo: 30x50, ilość kolorów: 1
grawer L3, rozmiar obszaru zdobienia: 34x124, maksymalny rozmiar logo: 30x50, ilość kolorów: 1
UV U3, rozmiar obszaru zdobienia: 34x124, maksymalny rozmiar logo: 25x120, ilość kolorów: 1
UV U3, rozmiar obszaru zdobienia: 34x124, maksymalny rozmiar logo: 25x120, ilość kolorów: 1";;34x124
12;R08252.00;R08252.00;Bidony, termosy, butelki;24;R08251.21;Bidon Feelsofine 800 ml, transparentny ;Bidon o nietypowym kwadratowym kształcie z wygodnym uchwytem. Pojemność 800 ml. Wykonany z tritanu. Wolny od BPA.;Bidon-Feelsofine-800-ml-transparentny.jpg;Bidon-Feelsofine-800-ml-transparentny-a.jpg, Bidon-Feelsofine-800-ml-transparentny-b.jpg, Bidon-Feelsofine-800-ml-transparentny-c.jpg;Bidon Feelsofine 800 ml, transparentny, który wyróżnia się kwadratowym kształtem. Przezroczyste ścianki z mogą być wykonane w różnych kolorach do wyboru. Bidon o pojemności 800 ml.;bidon butelka termos reklamowy z nadrukiem logo dla firm plastikowa plastikowy metalowy matalowa szklana szklany ;24,9;1;;transparentny;;;67 x 270 x 67;800 ml;tritan;PP;;;;;;"tampodruk A3, rozmiar obszaru zdobienia: 48x163, maksymalny rozmiar logo: 35x40, ilość kolorów: 1
tampodruk A3, rozmiar obszaru zdobienia: 48x163, maksymalny rozmiar logo: 35x40, ilość kolorów: 1
tampodruk A3, rozmiar obszaru zdobienia: 48x163, maksymalny rozmiar logo: 35x40, ilość kolorów: 1
tampodruk A4, rozmiar obszaru zdobienia: 48x163, maksymalny rozmiar logo: 30x100, ilość kolorów: 2
tampodruk A4, rozmiar obszaru zdobienia: 48x163, maksymalny rozmiar logo: 30x100, ilość kolorów: 2
tampodruk A4, rozmiar obszaru zdobienia: 48x163, maksymalny rozmiar logo: 30x100, ilość kolorów: 2
UV U3, rozmiar obszaru zdobienia: 48x163, maksymalny rozmiar logo: 45x150, ilość kolorów: 1
UV U3, rozmiar obszaru zdobienia: 48x163, maksymalny rozmiar logo: 45x150, ilość kolorów: 1";;48x163
12;R08252.04;R08252.04;Bidony, termosy, butelki;24;R08252.00;Bidon Feelsofine 800 ml, niebieski ;Bidon o nietypowym kwadratowym kształcie z wygodnym uchwytem. Pojemność 800 ml. Wykonany z tritanu. Wolny od BPA.;Bidon-Feelsofine-800-ml-niebieski-e.jpg;Bidon-Feelsofine-800-ml-niebieski.jpg, Bidon-Feelsofine-800-ml-niebieski-a.jpg, Bidon-Feelsofine-800-ml-niebieski-b.jpg, Bidon-Feelsofine-800-ml-niebieski-c.jpg;Bidon Feelsofine 800 ml, niebieski  który wyróżnia się kwadratowym kształtem. Przezroczyste ścianki z mogą być wykonane w różnych kolorach do wyboru. Bidon o pojemności 800 ml.;bidon butelka termos reklamowy z nadrukiem logo dla firm plastikowa plastikowy metalowy matalowa szklana szklany ;24,9;1;;niebieski;;;67 x 270 x 67;800 ml;tritan;PP;;;;;;"tampodruk A3, rozmiar obszaru zdobienia: 48x163, maksymalny rozmiar logo: 35x40, ilość kolorów: 1
tampodruk A3, rozmiar obszaru zdobienia: 48x163, maksymalny rozmiar logo: 35x40, ilość kolorów: 1
tampodruk A3, rozmiar obszaru zdobienia: 48x163, maksymalny rozmiar logo: 35x40, ilość kolorów: 1
tampodruk A4, rozmiar obszaru zdobienia: 48x163, maksymalny rozmiar logo: 30x100, ilość kolorów: 2
tampodruk A4, rozmiar obszaru zdobienia: 48x163, maksymalny rozmiar logo: 30x100, ilość kolorów: 2
tampodruk A4, rozmiar obszaru zdobienia: 48x163, maksymalny rozmiar logo: 30x100, ilość kolorów: 2
UV U3, rozmiar obszaru zdobienia: 48x163, maksymalny rozmiar logo: 45x150, ilość kolorów: 1
UV U3, rozmiar obszaru zdobienia: 48x163, maksymalny rozmiar logo: 45x150, ilość kolorów: 1
UV U3, rozmiar obszaru zdobienia: 48x163, maksymalny rozmiar logo: 45x150, ilość kolorów: 1";;48x163
12;R08253.04;R08253.04;Bidony, termosy, butelki;24;R08252.04;Bidon Whizzie 600 ml, niebieski ;Szczelny bidon o pojemności 600 ml wykonany z tritanu, powierzchnia przyjemna w dotyku. Wyposażony w blokadę zamknięcia oraz uchwyt na nadgarstek. Wolny od BPA;Bidon-Whizzie-600-ml-niebieski-g.jpg;Bidon-Whizzie-600-ml-niebieski.jpg, Bidon-Whizzie-600-ml-niebieski-a.jpg, Bidon-Whizzie-600-ml-niebieski-b.jpg, Bidon-Whizzie-600-ml-niebieski-c.jpg, Bidon-Whizzie-600-ml-niebieski-d.jpg, Bidon-Whizzie-600-ml-niebieski-e.jpg, Bidon-Whizzie-600-ml-niebieski-f.jpg, Bidon-Whizzie-600-ml-niebieski-h.jpg;Bidon Whizzie 600 ml, niebieski poręczny gadżet reklamowy dla aktywnych. Posiada praktyczną blokadę zamknięcia, dzięki której masz pewność, że znajdujący się w środku płyn się nie rozleje. Uchwyt na nadgarstek może przydać się podczas wycieczek w plener. Wolny od BPA.;bidon butelka termos reklamowy z nadrukiem logo dla firm plastikowa plastikowy metalowy matalowa szklana szklany ;27,9;1;;niebieski;;;69 x 220 x 69;600 ml;tritan;PP;;;;;;"grawer L3, rozmiar obszaru zdobienia: 40x136, maksymalny rozmiar logo: 30x50, ilość kolorów: 1
grawer L3, rozmiar obszaru zdobienia: 40x136, maksymalny rozmiar logo: 30x50, ilość kolorów: 1
grawer L3, rozmiar obszaru zdobienia: 40x136, maksymalny rozmiar logo: 30x50, ilość kolorów: 1
grawer L3, rozmiar obszaru zdobienia: 40x136, maksymalny rozmiar logo: 30x50, ilość kolorów: 1
UV U3, rozmiar obszaru zdobienia: 40x136, maksymalny rozmiar logo: 25x120, ilość kolorów: 1
UV U3, rozmiar obszaru zdobienia: 40x136, maksymalny rozmiar logo: 25x120, ilość kolorów: 1";;40x136
12;R08253.08;R08253.08;Bidony, termosy, butelki;24;R08253.04;Bidon Whizzie 600 ml, czerwony ;Szczelny bidon o pojemności 600 ml wykonany z tritanu, powierzchnia przyjemna w dotyku. Wyposażony w blokadę zamknięcia oraz uchwyt na nadgarstek. Wolny od BPA;Bidon-Whizzie-600-ml-czerwony-h.jpg;Bidon-Whizzie-600-ml-czerwony.jpg, Bidon-Whizzie-600-ml-czerwony-a.jpg, Bidon-Whizzie-600-ml-czerwony-b.jpg, Bidon-Whizzie-600-ml-czerwony-c.jpg, Bidon-Whizzie-600-ml-czerwony-d.jpg, Bidon-Whizzie-600-ml-czerwony-e.jpg, Bidon-Whizzie-600-ml-czerwony-f.jpg;Bidon Whizzie 600 ml, czerwony poręczny gadżet reklamowy dla aktywnych. Posiada praktyczną blokadę zamknięcia, dzięki której masz pewność, że znajdujący się w środku płyn się nie rozleje. Uchwyt na nadgarstek może przydać się podczas wycieczek w plener. Wolny od BPA.;bidon butelka termos reklamowy z nadrukiem logo dla firm plastikowa plastikowy metalowy matalowa szklana szklany ;27,9;1;;czerwony;;;69 x 220 x 69;600 ml;tritan;PP;;;;;;"grawer L3, rozmiar obszaru zdobienia: 40x136, maksymalny rozmiar logo: 30x50, ilość kolorów: 1
grawer L3, rozmiar obszaru zdobienia: 40x136, maksymalny rozmiar logo: 30x50, ilość kolorów: 1
grawer L3, rozmiar obszaru zdobienia: 40x136, maksymalny rozmiar logo: 30x50, ilość kolorów: 1
grawer L3, rozmiar obszaru zdobienia: 40x136, maksymalny rozmiar logo: 30x50, ilość kolorów: 1
UV U3, rozmiar obszaru zdobienia: 40x136, maksymalny rozmiar logo: 25x120, ilość kolorów: 1
UV U3, rozmiar obszaru zdobienia: 40x136, maksymalny rozmiar logo: 25x120, ilość kolorów: 1";;40x136
